gppd_idnr,elevation_meters
BRA0032765,774
BRA0033154,18
BRA0033084,1097
BRA0033373,626
BRA0000186,1
BRA0029453,171
BRA0028615,66
BRA0000182,33
BRA0030932,146
BRA0030933,80
BRA0030934,114
BRA0030931,90
BRA0030769,21
BRA0000190,37
BRA0030169,625
BRA0031413,756
BRA0030483,732
BRA0031607,711
BRA0030092,280
BRA0031732,782
BRA0033962,41
BRA0031335,719
BRA0031667,590
BRA0027952,20
BRA0000201,19
BRA0000203,414
BRA0027174,722
BRA0000207,381
BRA0030047,584
BRA0000208,450
BRA0029560,362
BRA0027556,499
BRA0027055,607
BRA0027530,713
BRA0000215,129
BRA0029141,327
BRA0028757,420
BRA0030296,9
BRA0000227,189
BRA0000234,1064
BRA0027388,542
BRA0030581,578
BRA0029454,782
BRA0000236,701
BRA0028187,769
BRA0028529,163
BRA0028004,734
BRA0027835,512
BRA0028605,31
BRA0028402,556
BRA0030879,215
BRA0027917,508
BRA0030091,259
BRA0030599,149
BRA0030354,19
BRA0029497,954
BRA0027207,603
BRA0000253,72
BRA0027906,384
BRA0031550,755
BRA0031528,732
BRA0029993,923
BRA0030796,697
BRA0029586,41
BRA0030412,419
BRA0030206,27
BRA0031260,732
BRA0030975,484
BRA0028148,329
BRA0029943,139
BRA0030313,837
BRA0030063,530
BRA0031371,112
BRA0030125,441
BRA0030053,409
BRA0030541,95
BRA0033072,869
BRA0029023,28
BRA0000267,144
BRA0029063,411
BRA0029060,387
BRA0029588,497
BRA0000273,670
BRA0000270,19
BRA0000274,120
BRA0030697,24
BRA0029184,307
BRA0029062,1359
BRA0030226,18
BRA0028043,604
BRA0030530,646
BRA0031496,0
BRA0031495,7
BRA0031499,666
BRA0000291,314
BRA0028887,31
BRA0031090,357
BRA0030837,1133
BRA0027339,502
BRA0027352,178
BRA0027947,376
BRA0028516,653
BRA0029578,722
BRA0030673,97
BRA0000312,1132
BRA0030001,672
BRA0027112,265
BRA0002832,309
BRA0027176,338
BRA0028772,354
BRA0031251,844
BRA0000315,557
BRA0030688,335
BRA0030782,676
BRA0028663,439
BRA0029356,582
BRA0028609,740
BRA0029631,18
BRA0000324,557
BRA0000329,286
BRA0030279,22
BRA0028753,439
BRA0030420,849
BRA0029527,849
BRA0029804,532
BRA0028691,592
BRA0028600,82
BRA0031262,772
BRA0033357,665
BRA0032951,723
BRA0033603,544
BRA0033221,683
BRA0032626,1364
BRA0032546,143
BRA0032751,526
BRA0032815,666
BRA0033266,672
BRA0029546,877
BRA0028773,7
BRA0033081,537
BRA0033180,15
BRA0030721,259
BRA0028230,1
BRA0029857,78
BRA0030666,0
BRA0032285,195
BRA0032286,151
BRA0032287,206
BRA0032289,148
BRA0032290,117
BRA0032283,102
BRA0032291,122
BRA0032292,167
BRA0032293,171
BRA0032284,162
BRA0032294,163
BRA0032296,165
BRA0032297,131
BRA0028739,784
BRA0032634,526
BRA0032596,5
BRA0033722,89
BRA0033428,57
BRA0033407,166
BRA0032959,749
BRA0029162,596
BRA0027054,41
BRA0033489,945
BRA0028016,539
BRA0031206,793
BRA0029212,189
BRA0000340,17
BRA0030104,468
BRA0029733,272
BRA0027042,502
BRA0028482,503
BRA0029215,16
BRA0000345,826
BRA0030238,823
BRA0030371,434
BRA0000396,337
BRA0028480,111
BRA0031186,104
BRA0000528,434
BRA0030033,471
BRA0027476,809
BRA0027253,542
BRA0030406,561
BRA0028999,370
BRA0029723,829
BRA0026879,563
BRA0030242,1114
BRA0029225,783
BRA0027940,243
BRA0032011,31
BRA0000588,856
BRA0027006,322
BRA0030792,1009
BRA0030976,1116
BRA0030437,1127
BRA0030448,1040
BRA0031344,1122
BRA0031342,1145
BRA0031523,1114
BRA0030739,745
BRA0028966,757
BRA0029217,579
BRA0029726,483
BRA0030294,21
BRA0000597,748
BRA0030511,675
BRA0030519,649
BRA0030545,696
BRA0030537,670
BRA0030552,669
BRA0031812,645
BRA0027672,400
BRA0029626,248
BRA0000600,14
BRA0000608,911
BRA0000602,61
BRA0027933,31
BRA0030813,465
BRA0034025,386
BRA0034080,273
BRA0034011,226
BRA0029807,28
BRA0031006,16
BRA0000612,525
BRA0029065,1263
BRA0028478,592
BRA0030396,201
BRA0028537,129
BRA0030678,960
BRA0031072,119
BRA0030500,182
BRA0031071,105
BRA0031069,104
BRA0027935,18
BRA0027401,498
BRA0029084,33
BRA0000630,307
BRA0030066,22
BRA0000635,207
BRA0031726,588
BRA0029138,562
BRA0029436,99
BRA0030316,917
BRA0029767,243
BRA0000646,383
BRA0028788,41
BRA0000647,343
BRA0027092,364
BRA0029180,402
BRA0000654,648
BRA0000657,304
BRA0000659,291
BRA0028579,128
BRA0027689,763
BRA0027107,611
BRA0031510,332
BRA0000666,52
BRA0034012,381
BRA0000667,912
BRA0027731,421
BRA0000671,104
BRA0029089,7
BRA0030832,31
BRA0030897,38
BRA0000677,25
BRA0031001,256
BRA0030431,892
BRA0028241,7
BRA0028030,409
BRA0033027,535
BRA0033032,645
BRA0033564,747
BRA0033541,638
BRA0033600,138
BRA0033565,729
BRA0028063,460
BRA0028378,595
BRA0027110,434
BRA0000688,409
BRA0029054,1302
BRA0029373,262
BRA0028240,433
BRA0027963,364
BRA0028099,295
BRA0030475,722
BRA0000718,295
BRA0028093,564
BRA0028042,548
BRA0027435,337
BRA0029106,566
BRA0033463,759
BRA0028528,15
BRA0000728,860
BRA0000729,544
BRA0030458,570
BRA0000735,835
BRA0027878,428
BRA0028756,459
BRA0030025,568
BRA0030463,11
BRA0033418,21
